"Date","Overseas acquired","Known local source","Known local source inside HQ","Unknown local source (community spread)","Interstate travel","Under investigation"
"06/07","0","16","0","0","0","2"
"07/07","1","18","0","0","0","9"
"08/07","1","26","0","0","0","12"
"09/07","1","35","0","0","0","9"
"10/07","2","37","0","0","0","13"
"11/07","5","55","0","0","0","22"
"12/07","4","64","0","0","0","48"
"13/07","4","75","0","0","0","14"
"14/07","2","61","0","0","0","36"
"15/07","2","40","0","0","0","25"
"16/07","1","63","0","0","0","34"
"17/07","6","59","0","0","0","52"
"18/07","4","66","0","0","0","39"
"19/07","2","61","0","0","0","37"
